Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
76	-11113.81	-11120.89	7.082196	0.40357	0.0403699	0.164599	1.349569e-05	-0.684295	-2.98686	-1.58118	0.1761087	0.003490904	0.06012027	0.0006440577	0.01399168	0.001773896	0.346783	0.159206	0.49401	0.504446	0.0504455	0.205732
77	-11111.82	-11118.67	6.852519	0.40357	0.0403699	0.183788	1.349569e-05	-0.684295	-2.98686	-1.4709	0.1731659	0.003223877	0.06147089	0.0009941548	0.01399168	0.001773896	0.135438	0.210717	0.653845	0.504446	0.0504455	0.229718
78	-11111.6	-11118.54	6.939127	0.407064	0.0403699	0.177082	1.349569e-05	-0.675674	-2.98686	-1.50807	0.1666965	0.002369845	0.06147089	0.001262394	0.01257116	0.001912834	0.135438	0.210717	0.653845	0.508813	0.0504455	0.221336
79	-11112.6	-11119.31	6.708261	0.407066	0.0423749	0.200435	1.560954e-05	-0.675674	-2.93842	-1.3842	0.1555538	0.002069625	0.05732983	0.001398766	0.01249337	0.003464714	0.571394	0.104463	0.324143	0.508813	0.0529491	0.250525
80	-11113.02	-11119.68	6.659151	0.407521	0.0462427	0.185	1.560954e-05	-0.674557	-2.85105	-1.46434	0.1585706	0.002069625	0.05732983	0.001398766	0.01281319	0.004323022	0.393825	0.146266	0.459909	0.509382	0.0577838	0.23123
81	-11114.7	-11121.76	7.066855	0.379111	0.045646	0.184053	0.0003351192	-0.747668	-2.87107	-1.47121	0.1585706	0.002069625	0.05732983	0.0009567705	0.009605272	0.004323022	0.393825	0.146266	0.459909	0.47347	0.0566386	0.229647
82	-11113.2	-11120.02	6.822502	0.387829	0.0363231	0.170865	0.0003395621	-0.724923	-3.10155	-1.54573	0.1585706	0.002069625	0.05732983	0.0009567705	0.01213857	0.004323022	0.694022	0.257758	0.0482204	0.484362	0.0449795	0.213156
83	-11113.99	-11120.98	6.988301	0.376504	0.0345827	0.170379	6.626766e-05	-0.75386	-3.14318	-1.54698	0.1585706	0.002069625	0.06024547	0.0006528489	0.01213857	0.004323022	0.72109	0.234955	0.0439546	0.470547	0.0431455	0.212891
84	-11114.56	-11121.27	6.709221	0.376504	0.0345827	0.175034	6.626766e-05	-0.75386	-3.14318	-1.52001	0.1585706	0.002298271	0.06024547	0.0007354865	0.01559614	0.004548277	0.372058	0.561111	0.0668311	0.470547	0.0431455	0.218709
85	-11111.35	-11118.45	7.096744	0.374715	0.0405812	0.180497	8.498076e-05	-0.758673	-2.9834	-1.48937	0.1585706	0.002408767	0.05526933	0.0006446395	0.01049583	0.004548277	0.712782	0.0918002	0.195418	0.468287	0.0506202	0.225516
86	-11110.78	-11117.88	7.098132	0.385763	0.0405812	0.174628	8.498076e-05	-0.729608	-2.9834	-1.52244	0.1585706	0.003092328	0.05526933	0.0004558226	0.01049583	0.004849705	0.669136	0.242694	0.0881695	0.482098	0.0506202	0.218179
87	-11110.98	-11117.99	7.001713	0.398717	0.0438937	0.174628	8.498076e-05	-0.696574	-2.90478	-1.52244	0.1585706	0.003234025	0.05526933	0.0004558226	0.01235301	0.004849705	0.26554	0.538739	0.195721	0.498289	0.0547609	0.218179
88	-11113.14	-11120.31	7.176517	0.398306	0.0422042	0.178236	2.778921e-05	-0.69746	-2.94275	-1.50166	0.1585706	0.003492205	0.0515606	0.0003375706	0.008679452	0.00621946	0.26554	0.538739	0.195721	0.497848	0.0527205	0.22276
89	-11113.49	-11120.78	7.284536	0.398306	0.0414731	0.190623	2.778921e-05	-0.69746	-2.96024	-1.43446	0.1585706	0.00286631	0.0515606	0.0003758004	0.008679452	0.005040166	0.26554	0.538739	0.195721	0.497848	0.0518066	0.238244
90	-11113.53	-11120.51	6.974017	0.398377	0.0422779	0.187982	9.821441e-05	-0.69746	-2.94267	-1.44879	0.1461582	0.00384124	0.05593365	0.0005360198	0.01082835	0.004119174	0.262444	0.544118	0.193438	0.497848	0.0527246	0.234855
91	-11118.07	-11125.02	6.952183	0.368539	0.0482794	0.178648	0.0001282069	-0.775413	-2.81027	-1.49991	0.1461582	0.003805813	0.05593365	0.000629041	0.01240034	0.004562221	0.132394	0.64006	0.227546	0.460513	0.060189	0.223149
92	-11114.05	-11121.14	7.085885	0.383034	0.0441189	0.19526	0.0001282069	-0.736823	-2.90063	-1.41094	0.1461582	0.003805813	0.05593365	0.0004479816	0.01240034	0.003784637	0.0828249	0.604553	0.312622	0.478632	0.0549884	0.243915
